open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704733200000,1.752200,1.799600,1.750000,1.797700,17693999.3,1704736799999,31330959.3293500,79345,8612166.4,15257454.5469000,0
1704736800000,1.797700,1.840000,1.790000,1.806900,31314117.3,1704740399999,56704445.2243100,134004,14582113.6,26412221.7464000,0
1704740400000,1.806900,1.863200,1.792600,1.846100,27167086.5,1704743999999,49839216.2828300,110742,13861267.8,25432482.1592400,0
1704744000000,1.845900,1.852500,1.805400,1.811800,20474008.9,1704747599999,37492040.2315700,79840,9143469.4,16756482.7288900,0
1704747600000,1.811700,1.831500,1.805000,1.806500,13810051.4,1704751199999,25093451.7710500,54644,6472932.3,11764784.6683600,0
1704751200000,1.806600,1.830400,1.805200,1.830100,8023406.0,1704754799999,14585851.5904000,36311,3983029.0,7242266.7414800,0
1704754800000,1.830000,1.839500,1.811300,1.821300,11162290.7,1704758399999,20370473.8264900,47517,5726814.3,10454825.0052900,0
1704758400000,1.821300,1.846100,1.773000,1.806900,25684250.1,1704761999999,46331734.6610700,105949,12378367.7,22343336.6515000,0
1704762000000,1.806700,1.841000,1.788800,1.800200,14472831.9,1704765599999,26219180.1176300,63402,6925214.2,12549780.3243500,0
1704765600000,1.800200,1.816100,1.794800,1.807000,6973200.5,1704769199999,12595412.4886100,33694,3575860.1,6460983.2233000,0
1704769200000,1.806900,1.806900,1.789100,1.794400,5346638.6,1704772799999,9611992.9852600,28025,2535780.2,4559064.5230900,0
1704772800000,1.794500,1.813900,1.777300,1.812500,9500445.7,1704776399999,17042008.8015200,43849,4776013.3,8571320.3109100,0
1704776400000,1.812500,1.832500,1.798200,1.827300,12576977.8,1704779999999,22865461.9883000,52797,5985521.3,10883959.2982600,0
1704780000000,1.827200,1.832300,1.798600,1.805900,8400336.3,1704783599999,15251816.6505400,42542,3892107.7,7066663.2836000,0
1704783600000,1.805900,1.823200,1.798000,1.819700,6896697.4,1704787199999,12494153.3096500,36407,3522202.6,6381289.8560200,0
1704787200000,1.819600,1.826300,1.776500,1.780000,12714894.7,1704790799999,22891984.0630400,55304,5737347.6,10332043.6546300,0
1704790800000,1.780100,1.793400,1.754100,1.765300,15829128.3,1704794399999,28066516.0747100,71632,7431416.3,13183431.6547100,0
1704794400000,1.765400,1.788800,1.763800,1.768200,9961214.0,1704797999999,17694968.9694200,45976,4886651.1,8681749.1979200,0
1704798000000,1.768300,1.782200,1.755200,1.767400,7303166.2,1704801599999,12908254.3630300,42813,3650095.8,6453276.6956600,0
1704801600000,1.767500,1.782900,1.657000,1.711400,31062448.8,1704805199999,53839978.2470400,112398,13530640.9,23475671.5411400,0
1704805200000,1.711600,1.750000,1.706400,1.740600,23079746.9,1704808799999,40040511.8997500,101528,12213621.1,21193831.1463000,0
1704808800000,1.740700,1.750600,1.690500,1.690800,17847454.4,1704812399999,30705775.3945600,79427,7878263.0,13567109.9928700,0
1704812400000,1.690700,1.712000,1.680300,1.696900,17047826.0,1704815999999,28969768.7402500,76911,8045569.3,13675680.6068600,0
1704816000000,1.697200,1.702800,1.658800,1.685900,15238474.7,1704819599999,25613436.6893700,70362,6879867.0,11565563.8217900,0
1704819600000,1.685800,1.691900,1.673300,1.678900,9349974.6,1704823199999,15736470.8299500,48747,5060125.6,8517142.7774700,0
